flood,lulc,Density_River,Density_Road,Distan2river_met,Distan2road_met,aspect,curvature,dem,flowDir,slope,twi,NDVI,rainfall,NDBI,NDWI
1,0.9,0.524253132,0.285910221,0.730398629,0.001883599,0.918674484,0.446252151,0.283193443,0.216659088,0.142576836,0.479059766,0.046470329,0.452534315,-0.22531645,0.5754386
1,0.9,0.707035014,0.274743835,0.121149477,0.016668907,0.61034199,0.552458344,0.272944481,0.02082386,0.100293577,0.741183315,0.515869185,0.695106626,0.047434207,-0.43592745
1,0.6,0.864118214,0.248802608,0.403214563,0.059070987,0.485187488,0.3622933,0.295796532,0.016092969,0.175941226,0.412003307,0.398739982,0.466348722,0.18046972,0.00711344
1,0.9,0.832958561,0.326208198,0.470427684,0.009461346,0.333591928,0.340939216,0.309487216,0.021365783,0.118011993,0.545990796,0.239204602,0.466348722,0.0647482,0.252483
1,0.6,0.712174751,0.360663396,0.493733706,0.00588732,0.159757774,0.509786883,0.506140378,0.100753393,0.118891423,0.49106721,0.601113928,0.385464753,0.10877387,-0.40857393
1,0.3,0.800513974,0.512482905,0.716984263,0.1023132,0.373685439,0.297371944,0.568106348,0.017469638,0.102477369,0.886953982,0.072222987,0.388847423,-0.10742937,-0.6261203
1,0.9,0.637969804,0.139846787,0.863829216,0.143942888,0.077433207,0.424271364,0.667016632,0.014472158,0.049879446,0.986993945,0.192769562,0.324738056,0.023036031,-0.452151
1,0.6,0.576935432,0.61794855,0.728332104,0.056522369,0.630684117,0.253516118,0.709779562,0.174436092,0.05463565,0.993358854,0.231858544,0.084390694,-0.24427333,-0.6956978
1,0.6,0.7892708,0.214085971,0.437719175,0.069508653,0.822208111,0.373641896,0.564030306,0.20856361,0.099628696,0.708952826,0.49705486,0.084390694,0.001302932,-0.61879617
1,0.9,0.287182782,0.262876097,0.716098345,0.027613154,0.485752073,0.244748842,0.489929456,0.02082386,0.207517039,0.556133799,0.639178951,0.109940707,-0.09612263,-0.45302415
1,0.6,0.432059107,0.237466565,0.416058941,0.123745991,0.412355869,0.37213409,0.540200698,0.061652662,0.127403632,0.409938019,0.360623353,0.79946493,0.19175836,-0.358253
1,0.6,0.562158689,0.458149384,0.093152762,0.093526431,0.795805036,0.31247942,0.749363485,0.125212642,0.095480907,0.42836451,0.437605654,0.153201861,-0.24898873,-0.624902
1,0.6,0.509155156,0.607826258,0.278268879,0.003008856,0.414221312,0.470815716,0.525573794,0.080103051,0.070793157,0.759928112,0.068945256,0.095810695,-0.32592666,-0.7203725
1,0.9,0.454866688,0.22661962,0.646410853,0.00184103,0.47901148,0.605232166,0.360218992,0.051422344,0.093790236,0.398997562,0.613584335,0.098602381,-0.017584099,-0.54184765
1,0.3,0.760038548,0.253142997,0.457805471,0.002931654,0.621145917,0.266707993,0.620377966,0.15229353,0.160541388,0.516426638,0.310718388,0.11408895,-0.14354451,-0.52187836
1,0.6,0.133954385,0.259368922,0.705688545,0.184133287,0.573253736,0.240816148,0.687967613,0.051737032,0.196694114,0.469865775,0.483145181,0.113830221,-0.16735254,-0.5210009
1,0.6,0.493414712,0.463174726,0.198919463,0.031881761,0.707677224,0.326956912,0.616400458,0.110157783,0.226702702,0.700815401,0.384418783,0.111450765,-0.23413025,-0.44219652
1,0.9,0.511725024,0.122328096,0.416204717,0.229338359,0.356281231,0.442312285,0.227495258,0.059515945,0.063255508,0.327959711,0.391165113,0.127857485,0.04730447,-0.13109244
1,0.9,0.25795053,0.388798429,0.140016283,0.009795888,0.690253955,0.368481929,0.36493052,0.129872815,0.081966684,0.734769221,0.072502266,0.665124046,0.032749742,0.018394649
1,0.9,0.222936075,0.269984686,0.449257852,0.115618333,0.631408631,0.227257683,0.392756892,0.161081585,0.106418502,0.993122594,0.098460969,0.217247176,-0.09766904,-0.59831697
1,0.6,0.406681658,0.146838425,0.615533252,0.230887284,0.702859811,0.421754707,0.275523083,0.094113812,0.179937718,0.447354,0.123549581,0.2722581,0.056818184,-0.476493
