flood,Density_River,Density_Road,Distan2river,Distan2road_met,NDVI,aspect,curvature,dem,flowDir,lulc,rainfall,slope,twi,NDBI,NDWI
1,2.66E-04,3.243047,738.78253,243.2447,0.075431034,52.765167,34,509,64,30,309.09235,7.2547255,7.2277994,0.07898723,-0.32751092
1,5.57E-05,0.80615675,3640.385,64.49999,0.17256267,148.49573,9,544,2,30,622.9261,8.385167,8.777026,0.10915751,-0.37432188
1,6.78E-05,2.6125066,2383.7317,42.999996,0.15763724,15.945395,6,313,32,10,454.14178,3.3781307,8.965786,0.05573042,-0.51672864
1,3.64E-04,10.765676,445.96384,21.499998,0.13026756,251.56505,-2,14,16,40,1057.4165,0.7344942,11.859108,0.16344969,-0.34499836
1,1.08E-04,9.725339,1896.5276,90.31358,0.09036811,130.23636,-17,28,1,60,987.0612,3.9493225,5.8596096,0.41393307,-0.16484955
1,2.56E-04,1.8402181,422.58908,2191.1062,-0.07530851,-1,0,509,4,80,290.57156,0,11.859108,-0.42944786,0.5620301
1,2.33E-04,1.7102029,1869.8418,171.99998,0.38341495,351.8699,-28,89,4,10,1099.5809,11.346588,6.1000333,-0.27280405,-0.69755
1,4.35E-04,2.7455058,1145.8406,218.78787,0.19348238,230.44034,1,182,4,30,833.0406,13.597979,7.9389305,0.12073448,-0.4786173
1,6.15E-05,0.42367372,4308.337,3113.124,-0.017074632,-1,0,47,1,30,1085.3302,0,11.859108,0.46345216,0.063563116
1,7.54E-05,0.20593189,4658.4067,4812.717,0.06983264,281.30994,12,353,8,10,664.9194,4.726852,8.6065235,-0.017291626,-0.5742634
1,2.62E-04,3.9561746,509.18054,64.49999,0.2555015,149.03624,7,17,1,40,1150.9872,1.3541625,8.876015,-0.057578586,-0.538717
1,1.15E-04,3.3770902,939.07,303.76245,0.21967927,270,2,3,32,40,938.00385,0.9290393,7.1261487,0.09007934,-0.4821592
1,3.72E-04,2.5992117,677.9344,352.37958,0.1391152,343.61047,-1,225,16,30,322.33734,4.108957,6.7971783,0.14815569,-0.39892906
1,2.29E-04,5.3812766,641.2899,56.576008,0.36806184,161.56505,7,15,4,40,1162.5238,1.4687471,8.588294,-0.2039199,-0.6640754
1,3.53E-04,1.8059107,849.42535,531.3974,0.17117888,322.8533,4,365,1,10,636.17194,9.527709,7.639824,-0.04527629,-0.5712755
1,1.75E-04,1.3000375,2740.244,348.92932,0.14410153,141.3402,3,161,1,40,822.0835,2.9719696,8.048738,0.24567114,-0.45871097
1,2.57E-04,4.6123877,3462.67,238.64386,0.20531791,55.124672,3,333,16,10,355.3914,9.261801,7.3166485,-0.27128458,-0.6698592
1,1.60E-04,0.7873542,4232.654,2007.6704,0.06670613,157.83365,-23,364,8,40,534.2704,6.7407994,5.6836386,0.15100197,-0.2976704
1,3.55E-04,2.7143426,1428.4061,21.499998,0.109359264,190.00798,-15,228,8,30,407.5022,4.0032506,11.859108,0.21648063,-0.33383155
1,3.11E-04,1.5889157,140.61954,56.576008,0.16643643,101.30993,9,200,4,10,525.9252,3.548659,7.778846,0.081716634,-0.39838853
1,1.27E-04,7.210028,2182.5574,182.43353,0.30470723,63.434948,2,18,4,10,949.2829,1.0386748,8.150431,-0.10910745,-0.5536501
1,1.74E-04,0.5752116,1122.675,2515.5837,-0.09065429,-1,0,202,4,80,573.10724,0,11.859108,-0.2231405,0.5763359
1,1.57E-04,3.5297506,116.936714,211.02396,0.1294687,315,5,5,16,40,1021.8557,1.6420193,8.225409,0.07956021,-0.43675676
1,1.64E-04,4.7081237,21.499998,178.10735,0.19069462,225,9,166,1,80,537.18353,3.9357235,8.820362,-0.09119898,-0.3887987
1,2.81E-04,9.695577,198.26741,171.99998,0.053808123,45,-3,17,64,40,1076.929,0.9853842,7.127435,0.3756405,0.20080726
1,2.67E-04,3.5021396,3191.9414,383.6743,0.37391424,118.44293,-5,579,4,10,671.8431,12.478897,7.4350753,-0.0776218,-0.682243
1,1.34E-04,1.0705307,1032.3787,859.99994,-0.023970298,-1,0,69,1,30,985.63763,0,11.859108,0.06498195,0.4045977
1,5.56E-05,2.7201192,5277.3447,91.21677,0.3066537,119.74488,-9,518,2,30,672.86835,3.7400842,7.168438,-0.054984037,-0.5739614
1,1.38E-04,2.8632445,701.69464,256.60696,0.058943663,144.46233,7,302,16,40,507.5186,3.989838,7.329926,0.3226601,-0.35135135
1,3.96E-04,11.548902,227.42166,56.576008,0.17750975,101.30993,-9,15,1,40,1071.4983,1.1842326,11.859108,0.16425715,-0.39440596
1,3.67E-04,10.502662,897.05493,30.405588,0.12472266,8.130101,1,4,64,40,1128.4531,1.6420193,11.859108,-0.21171822,-0.44379377
1,1.51E-04,0.4337408,365.44452,2813.9011,0.17712116,156.8014,-2,142,2,10,833.4861,1.7684314,7.898132,0.10723293,-0.58148676
1,3.49E-04,5.569943,138.143,198.9353,0.23151328,-1,0,22,1,30,972.66425,0,11.859108,0.11258707,-0.4942717
1,2.59E-04,1.7682666,110.72653,121.62235,0.18816078,307.87497,2,198,64,30,342.40012,2.6465178,8.155616,0.23963599,-0.20861459
1,1.66E-04,4.9387836,243.2447,188.9699,0.39324278,189.46233,-7,168,4,40,545.7618,2.8235226,7.129986,-0.38069594,-0.599712
1,1.27E-04,1.4229357,1468.7347,598.9767,0.3712436,288.43494,-11,461,64,10,690.20435,5.1280046,7.582779,-0.13616191,-0.6431322
1,2.05E-04,3.6409333,548.2963,395.24997,0.101773106,45,1,454,1,40,655.63635,0.3284902,11.859108,-0.12212672,-0.5385037
1,6.32E-05,2.432782,1518.1914,151.8209,0.18935904,139.39871,7,3,1,30,929.47284,4.275084,7.592942,0.12474526,-0.56291896
